,Quarter,County,Price_count,Price_min,Price_mean,Price_max,Price_median,Price_25p,Price_75p,Price_90p,immigrants,private_households,persons_private_households,household_values,investment_country,gdp_growth,gdp_growth_based,gdp_values,population,infliation,infliation_based,unemployment,unemployment_based
51,2010-Q2,Wicklow,158,15000,278558.9936708861,950000,253931.5,188200.0,330000.0,444300.0,41800.0,47798,135259,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
52,2010-Q3,Carlow,63,50000,179927.85714285713,1453745,150000.0,100000.0,201250.0,249500.0,41800.0,19436,54187,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
53,2010-Q3,Cavan,84,30000,133451.80952380953,306100,126255.5,87295.75,166250.0,225600.00000000003,41800.0,25818,72625,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
54,2010-Q3,Clare,178,18000,171886.7584269663,1660000,159295.0,110000.0,208087.5,261500.00000000006,41800.0,42648,115587,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
55,2010-Q3,Cork,630,7000,214772.4253968254,890000,200000.0,140000.0,261687.5,339550.0,41800.0,188019,512300,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
56,2010-Q3,Donegal,163,6348,155558.0,1434000,130792.0,83333.0,180000.0,254000.00000000006,41800.0,57964,159139,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
57,2010-Q3,Dublin,2004,10000,331847.40419161675,3740000,270000.0,205000.0,370283.0,542185.9,41800.0,90019,263723,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
58,2010-Q3,Galway,259,9703,225318.10424710426,683259,215000.0,154592.0,267500.0,370008.8,41800.0,27726,70918,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
59,2010-Q3,Kerry,166,10000,181256.96987951806,710000,176703.5,130000.0,224250.0,270000.0,41800.0,53306,140975,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
60,2010-Q3,Kildare,305,10000,228112.12786885246,748898,215000.0,149200.0,280000.0,350000.0,41800.0,70763,208522,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
61,2010-Q3,Kilkenny,93,36000,214147.44086021505,1845000,170000.0,135000.0,225000.0,319580.0,41800.0,33679,94342,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
62,2010-Q3,Laois,91,19046,161014.76923076922,385000,150000.0,107750.0,202500.0,265000.0,41800.0,28020,79751,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
63,2010-Q3,Leitrim,43,20000,118194.83720930232,285000,120000.0,74000.0,148875.0,179220.00000000003,41800.0,12308,31556,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
64,2010-Q3,Limerick,205,18958,194935.26341463416,1750000,175000.0,137500.0,225000.0,291399.9999999999,41800.0,69649,187560,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
65,2010-Q3,Longford,39,33000,144135.3076923077,334801,140969.0,82500.0,197500.0,221000.0,41800.0,14453,38986,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
66,2010-Q3,Louth,145,10000,187252.7931034483,900000,175000.0,126000.0,226431.0,293000.0,41800.0,43972,122339,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
67,2010-Q3,Mayo,125,12697,163335.48,625000,150000.0,125000.0,193000.0,272800.0000000002,41800.0,48070,128492,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
68,2010-Q3,Meath,266,10000,221306.31203007518,875000,200000.0,160000.0,264317.0,350000.0,41800.0,62201,184336,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
69,2010-Q3,Monaghan,43,25000,133351.0,315000,121000.0,105363.0,165000.0,208200.00000000003,41800.0,21264,60473,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
70,2010-Q3,Offaly,58,30000,174167.2931034483,480000,158390.0,105000.0,212437.5,302511.00000000006,41800.0,26750,76274,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
71,2010-Q3,Roscommon,80,9142,148808.0125,432775,150000.0,100000.0,176533.25,214000.0,41800.0,23672,63311,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
72,2010-Q3,Sligo,82,18000,161751.36585365853,635000,142000.0,99625.0,199375.0,271700.00000000006,41800.0,24525,63667,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
